SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '104857600' AND `--table-size` = '800000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
50	262144	49.95
100	3145728	97.47
1	262144	2.57
1	3145728	2.56
100	2097152	104.64
50	2097152	51.17
50	1048576	49.86
100	524288	101.97
1	524288	2.56
100	262144	100.21
1	1048576	2.57
50	3145728	49.08
100	1048576	99.48
100	6291456	98.22
1	6291456	2.57
1	2097152	2.57
50	524288	50.2
50	6291456	49.71
