SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '104857600' AND `--table-size` = '200000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
50	524288	29.57
50	1048576	29.84
50	3145728	29.49
50	6291456	29.16
1	1048576	2.04
100	3145728	62.29
1	6291456	2.0
100	262144	62.73
100	6291456	60.29
100	1048576	61.7
100	2097152	60.99
50	262144	28.62
1	524288	2.01
100	524288	61.54
50	2097152	29.39
1	262144	2.01
1	3145728	2.0
1	2097152	2.02
