SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '20971520' AND `--table-size` = '40000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
50	1048576	33.77
50	2097152	32.35
1	6291456	2.26
100	262144	68.61
100	3145728	70.69
50	6291456	32.84
1	262144	2.21
50	262144	33.04
100	1048576	68.3
1	2097152	2.28
50	3145728	33.49
1	524288	2.29
100	6291456	73.36
100	524288	68.16
1	1048576	2.24
1	3145728	2.22
100	2097152	71.29
50	524288	33.27
