SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '5242880' AND `--table-size` = '10'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
50	6291456	56.03
1	1048576	1.41
100	262144	211.03
1	524288	1.41
50	1048576	57.4
100	3145728	209.96
1	2097152	1.42
50	3145728	56.59
1	6291456	1.41
1	262144	1.41
100	6291456	214.48
100	524288	212.22
50	2097152	56.37
100	2097152	210.12
50	524288	56.87
1	3145728	1.43
100	1048576	207.15
50	262144	57.57
