SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '52428800' AND `--table-size` = '600000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
50	262144	50.15
100	2097152	98.72
100	1048576	99.51
50	1048576	50.31
50	6291456	53.25
1	262144	2.77
100	3145728	97.96
50	3145728	50.13
100	6291456	95.98
100	262144	95.64
50	524288	54.25
1	3145728	2.76
50	2097152	49.83
1	6291456	2.81
1	2097152	2.76
1	1048576	2.75
1	524288	2.75
100	524288	97.95
