SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '104857600' AND `--table-size` = '1000000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
1	2097152	2.72
50	2097152	56.45
1	524288	2.68
1	1048576	2.7
50	6291456	53.37
50	262144	53.75
100	524288	110.91
1	6291456	2.66
50	1048576	55.73
1	3145728	2.71
50	524288	55.77
1	262144	2.64
100	262144	112.69
100	2097152	112.38
50	3145728	57.58
100	1048576	113.8
100	6291456	111.16
100	3145728	109.05
