SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '10485760' AND `--table-size` = '10'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
100	2097152	188.29
100	6291456	193.83
1	262144	1.4
50	2097152	54.72
1	3145728	1.4
50	262144	54.43
1	1048576	1.4
50	3145728	53.61
100	3145728	192.55
50	6291456	54.54
1	2097152	1.39
50	524288	54.9
50	1048576	54.61
1	524288	1.4
100	1048576	194.04
100	262144	190.12
100	524288	194.87
1	6291456	1.39
