SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '104857600' AND `--table-size` = '600000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
100	2097152	85.48
50	6291456	42.65
100	3145728	85.86
50	1048576	44.83
100	1048576	88.6
100	262144	87.63
50	262144	44.2
1	1048576	2.46
1	524288	2.47
1	6291456	2.47
1	2097152	2.44
100	524288	86.49
1	3145728	2.46
100	6291456	87.29
50	524288	44.34
1	262144	2.47
50	2097152	42.33
50	3145728	43.46
