SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '20971520' AND `--table-size` = '600000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
100	6291456	142.78
50	2097152	61.89
100	262144	133.51
1	2097152	3.36
50	262144	63.54
1	524288	3.31
100	524288	129.16
100	3145728	135.2
100	1048576	131.71
1	3145728	3.29
1	1048576	3.3
100	2097152	131.92
50	3145728	63.86
1	6291456	3.3
50	524288	65.1
50	1048576	63.97
50	6291456	64.41
1	262144	3.28
