SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '52428800' AND `--table-size` = '10'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
100	262144	195.23
1	2097152	1.38
50	1048576	53.05
1	262144	1.37
50	6291456	53.86
100	524288	192.11
1	6291456	1.44
100	1048576	188.59
100	6291456	189.0
50	262144	53.24
100	2097152	189.5
1	3145728	1.37
50	3145728	54.17
100	3145728	191.0
1	1048576	1.38
1	524288	1.37
50	2097152	54.08
50	524288	53.48
