SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '104857600' AND `--table-size` = '10'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
1	262144	1.38
50	1048576	54.71
1	6291456	1.38
1	3145728	1.38
100	1048576	190.18
50	2097152	53.47
1	524288	1.37
50	6291456	52.89
100	6291456	189.37
50	3145728	53.34
100	524288	191.26
1	1048576	1.37
100	2097152	187.61
50	524288	53.69
50	262144	52.77
1	2097152	1.38
100	3145728	186.9
100	262144	190.97
