SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '20971520' AND `--table-size` = '800000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
100	524288	153.36
50	3145728	72.58
1	3145728	3.39
50	524288	71.74
1	1048576	3.42
1	6291456	3.37
1	524288	3.39
100	262144	154.6
50	2097152	72.51
1	2097152	3.38
1	262144	3.36
100	1048576	153.82
100	6291456	160.62
50	6291456	73.43
100	3145728	152.66
50	262144	72.09
50	1048576	72.41
100	2097152	160.5
