SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '104857600' AND `--table-size` = '40000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
1	6291456	1.82
50	524288	22.35
100	2097152	43.19
1	262144	1.83
1	2097152	1.82
50	2097152	22.44
100	6291456	43.96
50	6291456	22.43
50	262144	22.49
100	3145728	45.27
50	1048576	22.56
1	3145728	1.82
1	1048576	1.87
1	524288	1.83
50	3145728	22.11
100	1048576	44.06
100	524288	43.52
100	262144	43.59
