SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '52428800' AND `--table-size` = '200000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
1	1048576	2.25
50	262144	34.95
100	6291456	68.24
100	2097152	70.28
1	2097152	2.24
50	1048576	35.41
50	3145728	34.75
50	2097152	34.57
1	524288	2.24
100	524288	68.4
50	524288	34.97
100	3145728	69.56
1	6291456	2.26
100	1048576	66.51
50	6291456	34.46
1	3145728	2.26
1	262144	2.24
100	262144	67.29
