SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '5242880' AND `--table-size` = '800000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
100	6291456	281.23
100	524288	293.05
1	6291456	3.79
1	2097152	3.78
50	524288	108.69
50	262144	108.12
100	1048576	266.19
100	2097152	279.48
50	1048576	109.73
1	1048576	3.8
50	2097152	106.42
50	3145728	108.86
100	262144	287.8
50	6291456	107.28
1	3145728	3.71
100	3145728	267.91
1	262144	3.79
1	524288	3.72
