SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '52428800' AND `--table-size` = '40000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
1	6291456	1.87
1	262144	1.85
1	2097152	1.88
100	1048576	49.28
50	262144	24.81
1	1048576	1.87
100	3145728	50.66
50	1048576	24.6
50	524288	24.22
1	524288	1.85
100	2097152	49.4
1	3145728	1.85
100	6291456	50.31
100	262144	50.79
50	2097152	24.7
100	524288	49.78
50	6291456	24.38
50	3145728	24.84
