SELECT DISTINCT `--threads`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '20971520' AND `--table-size` = '200000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--threads`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
1	524288	2.91
100	6291456	82.92
50	1048576	39.96
100	1048576	86.06
1	3145728	2.87
50	2097152	42.6
1	2097152	2.91
100	3145728	85.71
50	524288	41.95
100	2097152	83.49
100	262144	85.86
1	1048576	2.9
100	524288	83.75
50	262144	41.25
50	6291456	41.35
1	6291456	2.88
50	3145728	41.72
1	262144	2.87
