SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '100' AND `--table-size` = '800000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
5242880	6291456	281.23
5242880	524288	293.05
52428800	6291456	124.11
20971520	524288	153.36
104857600	3145728	97.47
10485760	2097152	213.72
104857600	2097152	104.64
10485760	524288	213.9
104857600	524288	101.97
5242880	1048576	266.19
52428800	524288	119.92
20971520	262144	154.6
104857600	262144	100.21
20971520	1048576	153.82
5242880	2097152	279.48
20971520	6291456	160.62
104857600	1048576	99.48
104857600	6291456	98.22
52428800	1048576	114.02
52428800	262144	113.57
10485760	262144	215.46
52428800	3145728	114.48
20971520	3145728	152.66
10485760	6291456	218.46
5242880	262144	287.8
10485760	3145728	209.14
52428800	2097152	123.71
5242880	3145728	267.91
10485760	1048576	215.91
20971520	2097152	160.5
