SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '1' AND `--table-size` = '800000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
10485760	6291456	3.74
104857600	262144	2.57
20971520	3145728	3.39
52428800	2097152	2.9
5242880	6291456	3.79
10485760	524288	3.79
20971520	1048576	3.42
104857600	3145728	2.56
5242880	2097152	3.78
10485760	262144	3.74
20971520	6291456	3.37
20971520	524288	3.39
104857600	524288	2.56
52428800	3145728	2.86
10485760	1048576	3.73
52428800	262144	2.92
52428800	1048576	2.87
20971520	2097152	3.38
20971520	262144	3.36
5242880	1048576	3.8
104857600	1048576	2.57
104857600	6291456	2.57
52428800	524288	2.87
104857600	2097152	2.57
10485760	3145728	3.77
10485760	2097152	3.77
5242880	3145728	3.71
52428800	6291456	2.9
5242880	262144	3.79
5242880	524288	3.72
