SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '100' AND `--table-size` = '40000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
10485760	524288	89.87
52428800	1048576	49.28
104857600	2097152	43.19
5242880	3145728	116.04
52428800	3145728	50.66
20971520	262144	68.61
5242880	524288	115.4
5242880	6291456	120.32
20971520	3145728	70.69
104857600	6291456	43.96
52428800	2097152	49.4
10485760	3145728	90.13
104857600	3145728	45.27
52428800	6291456	50.31
52428800	262144	50.79
20971520	1048576	68.3
52428800	524288	49.78
5242880	262144	115.66
10485760	6291456	88.16
10485760	2097152	88.18
20971520	6291456	73.36
5242880	2097152	118.93
5242880	1048576	116.79
20971520	524288	68.16
104857600	1048576	44.06
104857600	524288	43.52
10485760	1048576	88.16
104857600	262144	43.59
10485760	262144	90.18
20971520	2097152	71.29
