SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '50' AND `--table-size` = '400000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
5242880	262144	86.75
104857600	2097152	36.04
20971520	2097152	53.78
104857600	262144	36.45
10485760	6291456	72.78
104857600	1048576	35.48
5242880	3145728	86.54
5242880	6291456	86.65
10485760	524288	71.77
104857600	3145728	36.66
104857600	6291456	36.23
52428800	262144	42.13
52428800	2097152	42.53
52428800	3145728	43.01
5242880	2097152	83.54
10485760	1048576	73.62
20971520	524288	51.05
5242880	524288	84.91
52428800	524288	41.8
52428800	6291456	41.42
104857600	524288	36.1
52428800	1048576	41.9
20971520	1048576	53.21
20971520	6291456	53.16
10485760	2097152	72.02
10485760	262144	71.58
5242880	1048576	82.44
10485760	3145728	71.33
20971520	3145728	51.72
20971520	262144	51.33
