SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '100' AND `--table-size` = '400000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
5242880	6291456	197.39
10485760	1048576	153.8
20971520	524288	107.38
20971520	3145728	105.77
10485760	6291456	155.62
52428800	2097152	81.78
52428800	524288	82.18
5242880	262144	196.19
104857600	524288	73.52
10485760	524288	153.23
20971520	6291456	107.77
104857600	262144	74.03
10485760	262144	155.89
10485760	2097152	158.07
5242880	3145728	197.82
104857600	2097152	72.3
20971520	262144	104.65
104857600	6291456	72.81
5242880	1048576	193.09
104857600	3145728	73.05
5242880	2097152	194.79
52428800	1048576	82.54
52428800	6291456	81.7
52428800	262144	79.78
20971520	2097152	104.85
104857600	1048576	70.46
10485760	3145728	157.24
20971520	1048576	105.37
5242880	524288	197.91
52428800	3145728	84.33
