SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '100' AND `--table-size` = '600000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
104857600	2097152	85.48
20971520	6291456	142.78
104857600	3145728	85.86
20971520	262144	133.51
52428800	2097152	98.72
10485760	262144	193.12
10485760	3145728	183.36
20971520	524288	129.16
5242880	3145728	220.58
52428800	1048576	99.51
10485760	2097152	193.54
10485760	1048576	198.83
20971520	3145728	135.2
10485760	524288	181.55
20971520	1048576	131.71
104857600	1048576	88.6
104857600	262144	87.63
5242880	2097152	238.1
5242880	524288	258.86
20971520	2097152	131.92
52428800	3145728	97.96
5242880	262144	238.84
52428800	6291456	95.98
104857600	524288	86.49
5242880	1048576	237.92
52428800	262144	95.64
104857600	6291456	87.29
10485760	6291456	194.2
5242880	6291456	231.8
52428800	524288	97.95
