SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '50' AND `--table-size` = '10'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
5242880	6291456	56.03
20971520	6291456	54.06
52428800	1048576	53.05
104857600	1048576	54.71
20971520	2097152	54.84
5242880	1048576	57.4
52428800	6291456	53.86
10485760	2097152	54.72
5242880	3145728	56.59
104857600	2097152	53.47
10485760	262144	54.43
104857600	6291456	52.89
10485760	3145728	53.61
10485760	6291456	54.54
52428800	262144	53.24
104857600	3145728	53.34
20971520	3145728	55.43
5242880	2097152	56.37
52428800	3145728	54.17
10485760	524288	54.9
10485760	1048576	54.61
5242880	524288	56.87
20971520	262144	53.97
104857600	524288	53.69
104857600	262144	52.77
20971520	524288	55.33
52428800	2097152	54.08
52428800	524288	53.48
20971520	1048576	55.06
5242880	262144	57.57
