SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '50' AND `--table-size` = '1000000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
5242880	524288	117.6
52428800	262144	64.53
10485760	1048576	99.56
104857600	2097152	56.45
5242880	262144	111.74
5242880	3145728	114.11
104857600	6291456	53.37
20971520	3145728	79.81
10485760	2097152	98.05
20971520	2097152	81.1
104857600	262144	53.75
20971520	6291456	79.25
10485760	3145728	100.27
52428800	524288	63.2
20971520	524288	76.39
5242880	6291456	113.86
10485760	262144	96.31
104857600	1048576	55.73
104857600	524288	55.77
10485760	524288	95.27
52428800	6291456	61.71
20971520	262144	79.44
10485760	6291456	97.11
104857600	3145728	57.58
5242880	1048576	115.29
5242880	2097152	113.45
52428800	3145728	60.88
52428800	1048576	63.29
20971520	1048576	76.28
52428800	2097152	64.24
