SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '100' AND `--table-size` = '1000000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
10485760	262144	235.79
10485760	3145728	230.35
5242880	3145728	292.51
52428800	1048576	127.3
20971520	6291456	170.21
10485760	1048576	231.03
5242880	524288	285.39
20971520	2097152	173.09
20971520	1048576	176.01
52428800	2097152	138.24
52428800	3145728	131.92
20971520	3145728	177.65
104857600	524288	110.91
20971520	524288	177.64
20971520	262144	182.31
5242880	6291456	300.45
52428800	524288	125.31
10485760	2097152	228.59
10485760	524288	222.15
5242880	1048576	305.59
5242880	2097152	284.36
104857600	262144	112.69
104857600	2097152	112.38
5242880	262144	312.41
10485760	6291456	226.01
104857600	1048576	113.8
104857600	6291456	111.16
52428800	6291456	128.58
104857600	3145728	109.05
52428800	262144	131.12
