SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '50' AND `--table-size` = '40000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
20971520	1048576	33.77
20971520	2097152	32.35
104857600	524288	22.35
52428800	262144	24.81
5242880	2097152	50.33
5242880	262144	50.17
52428800	1048576	24.6
52428800	524288	24.22
10485760	6291456	42.03
10485760	2097152	42.23
104857600	2097152	22.44
5242880	1048576	50.37
10485760	262144	41.27
20971520	6291456	32.84
5242880	3145728	50.28
104857600	6291456	22.43
20971520	262144	33.04
104857600	262144	22.49
10485760	3145728	41.89
52428800	2097152	24.7
104857600	1048576	22.56
20971520	3145728	33.49
10485760	524288	41.42
52428800	6291456	24.38
10485760	1048576	41.02
52428800	3145728	24.84
5242880	524288	49.99
104857600	3145728	22.11
5242880	6291456	49.4
20971520	524288	33.27
