SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '100' AND `--table-size` = '10'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
52428800	262144	195.23
10485760	2097152	188.29
10485760	6291456	193.83
20971520	1048576	190.93
5242880	262144	211.03
5242880	3145728	209.96
104857600	1048576	190.18
52428800	524288	192.11
20971520	524288	192.41
20971520	6291456	193.03
5242880	6291456	214.48
5242880	524288	212.22
10485760	3145728	192.55
52428800	1048576	188.59
104857600	6291456	189.37
52428800	6291456	189.0
52428800	2097152	189.5
104857600	524288	191.26
5242880	2097152	210.12
20971520	3145728	194.86
104857600	2097152	187.61
10485760	1048576	194.04
52428800	3145728	191.0
20971520	2097152	199.06
5242880	1048576	207.15
20971520	262144	193.03
10485760	262144	190.12
10485760	524288	194.87
104857600	3145728	186.9
104857600	262144	190.97
