SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '50' AND `--table-size` = '600000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
20971520	2097152	61.89
104857600	6291456	42.65
52428800	262144	50.15
104857600	1048576	44.83
20971520	262144	63.54
52428800	1048576	50.31
5242880	524288	97.51
10485760	262144	83.57
104857600	262144	44.2
10485760	1048576	84.06
10485760	2097152	82.6
10485760	524288	83.9
52428800	6291456	53.25
20971520	3145728	63.86
52428800	3145728	50.13
5242880	262144	99.48
10485760	6291456	83.26
5242880	1048576	97.72
52428800	524288	54.25
104857600	524288	44.34
52428800	2097152	49.83
20971520	524288	65.1
5242880	2097152	96.02
20971520	1048576	63.97
5242880	3145728	98.49
20971520	6291456	64.41
104857600	2097152	42.33
5242880	6291456	101.67
10485760	3145728	82.0
104857600	3145728	43.46
