SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '1' AND `--table-size` = '40000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
52428800	6291456	1.87
52428800	262144	1.85
52428800	2097152	1.88
104857600	6291456	1.82
104857600	262144	1.83
52428800	1048576	1.87
104857600	2097152	1.82
20971520	6291456	2.26
5242880	262144	2.83
52428800	524288	1.85
10485760	524288	2.68
52428800	3145728	1.85
10485760	2097152	2.67
20971520	262144	2.21
5242880	2097152	2.83
10485760	1048576	2.65
5242880	6291456	2.88
5242880	1048576	2.84
5242880	524288	2.88
104857600	3145728	1.82
20971520	2097152	2.28
20971520	524288	2.29
10485760	3145728	2.67
5242880	3145728	2.82
104857600	1048576	1.87
10485760	6291456	2.7
10485760	262144	2.67
104857600	524288	1.83
20971520	1048576	2.24
20971520	3145728	2.22
