SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '1' AND `--table-size` = '400000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
104857600	3145728	2.28
20971520	524288	3.22
5242880	6291456	3.65
20971520	6291456	3.19
52428800	1048576	2.55
10485760	524288	3.62
5242880	524288	3.81
104857600	524288	2.26
104857600	262144	2.25
52428800	524288	2.56
52428800	3145728	2.61
5242880	3145728	3.68
5242880	262144	3.63
52428800	2097152	2.58
52428800	262144	2.6
10485760	262144	3.58
10485760	6291456	3.59
20971520	3145728	3.17
104857600	2097152	2.3
10485760	1048576	3.61
104857600	6291456	2.28
20971520	2097152	3.18
20971520	1048576	3.25
5242880	2097152	3.68
10485760	3145728	3.59
5242880	1048576	3.62
10485760	2097152	3.63
52428800	6291456	2.57
20971520	262144	3.16
104857600	1048576	2.27
