SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '100' AND `--table-size` = '200000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
5242880	524288	164.47
20971520	6291456	82.92
5242880	262144	162.22
52428800	6291456	68.24
20971520	1048576	86.06
5242880	3145728	165.41
5242880	2097152	167.83
20971520	3145728	85.71
52428800	2097152	70.28
10485760	524288	121.53
20971520	2097152	83.49
5242880	1048576	163.6
104857600	3145728	62.29
20971520	262144	85.86
10485760	2097152	124.55
104857600	262144	62.73
52428800	524288	68.4
104857600	6291456	60.29
52428800	3145728	69.56
10485760	6291456	122.06
104857600	1048576	61.7
104857600	2097152	60.99
20971520	524288	83.75
10485760	262144	124.29
52428800	1048576	66.51
10485760	3145728	123.77
10485760	1048576	124.59
104857600	524288	61.54
5242880	6291456	160.89
52428800	262144	67.29
