SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '1' AND `--table-size` = '600000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
10485760	3145728	3.7
20971520	2097152	3.36
20971520	524288	3.31
10485760	1048576	3.69
5242880	1048576	3.76
5242880	524288	3.73
5242880	262144	3.78
20971520	3145728	3.29
20971520	1048576	3.3
10485760	2097152	3.69
104857600	1048576	2.46
104857600	524288	2.47
104857600	6291456	2.47
104857600	2097152	2.44
5242880	2097152	3.72
52428800	262144	2.77
10485760	262144	3.71
10485760	524288	3.72
10485760	6291456	3.69
104857600	3145728	2.46
20971520	6291456	3.3
52428800	3145728	2.76
104857600	262144	2.47
5242880	3145728	3.76
5242880	6291456	3.76
20971520	262144	3.28
52428800	6291456	2.81
52428800	2097152	2.76
52428800	1048576	2.75
52428800	524288	2.75
