SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '1' AND `--table-size` = '10'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
104857600	262144	1.38
52428800	2097152	1.38
10485760	262144	1.4
5242880	1048576	1.41
104857600	6291456	1.38
52428800	262144	1.37
5242880	524288	1.41
104857600	3145728	1.38
5242880	2097152	1.42
20971520	3145728	1.38
52428800	6291456	1.44
104857600	524288	1.37
20971520	2097152	1.39
5242880	6291456	1.41
5242880	262144	1.41
10485760	3145728	1.4
10485760	1048576	1.4
20971520	262144	1.38
52428800	3145728	1.37
20971520	6291456	1.39
20971520	1048576	1.38
10485760	2097152	1.39
104857600	1048576	1.37
10485760	524288	1.4
5242880	3145728	1.43
20971520	524288	1.39
52428800	1048576	1.38
52428800	524288	1.37
104857600	2097152	1.38
10485760	6291456	1.39
