SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '50' AND `--table-size` = '800000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
104857600	262144	49.95
20971520	3145728	72.58
10485760	1048576	93.3
20971520	524288	71.74
5242880	524288	108.69
104857600	2097152	51.17
104857600	1048576	49.86
5242880	262144	108.12
20971520	2097152	72.51
10485760	262144	93.94
5242880	1048576	109.73
104857600	3145728	49.08
5242880	2097152	106.42
5242880	3145728	108.86
10485760	2097152	91.99
20971520	6291456	73.43
52428800	1048576	56.17
52428800	524288	54.19
10485760	3145728	93.58
52428800	262144	59.02
52428800	2097152	53.73
104857600	524288	50.2
5242880	6291456	107.28
20971520	262144	72.09
10485760	524288	92.58
10485760	6291456	89.74
52428800	6291456	54.67
104857600	6291456	49.71
20971520	1048576	72.41
52428800	3145728	54.21
