SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '50' AND `--table-size` = '200000'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
20971520	1048576	39.96
5242880	2097152	74.78
52428800	262144	34.95
104857600	524288	29.57
104857600	1048576	29.84
5242880	6291456	74.86
104857600	3145728	29.49
20971520	2097152	42.6
104857600	6291456	29.16
20971520	524288	41.95
52428800	1048576	35.41
52428800	3145728	34.75
5242880	1048576	71.53
52428800	2097152	34.57
10485760	2097152	55.63
52428800	524288	34.97
10485760	262144	56.42
104857600	262144	28.62
10485760	524288	56.89
5242880	3145728	70.51
10485760	3145728	56.47
20971520	262144	41.25
20971520	6291456	41.35
5242880	262144	70.98
52428800	6291456	34.46
10485760	6291456	59.03
104857600	2097152	29.39
5242880	524288	71.74
10485760	1048576	59.73
20971520	3145728	41.72
