SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '10485760' AND `--threads` = '50'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
10	262144	1920.12
1000000	3145728	6086.86
200000	262144	5668.74
600000	262144	7025.03
600000	524288	5648.77
1000000	1048576	5337.38
600000	1048576	6264.02
400000	2097152	6586.3
400000	1048576	6846.42
200000	1048576	5827.14
200000	2097152	6015.11
800000	6291456	6064.04
400000	6291456	6679.88
40000	524288	3892.8
200000	6291456	5876.81
1000000	524288	6167.64
1000000	262144	6169.05
40000	2097152	3715.18
1000000	2097152	5739.45
10	1048576	1866.73
800000	3145728	5100.35
400000	3145728	5835.69
800000	1048576	5419.66
600000	3145728	5453.53
10	3145728	1864.36
800000	524288	5149.08
40000	1048576	3972.54
600000	2097152	5355.35
600000	6291456	5265.69
400000	524288	6226.01
200000	3145728	6370.78
40000	262144	3791.5
800000	262144	6291.53
10	524288	1782.96
10	6291456	1820.81
10	2097152	1897.28
200000	524288	6419.98
800000	2097152	5329.63
40000	3145728	3911.11
1000000	6291456	4906.95
400000	262144	6891.37
40000	6291456	3750.9
