SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '20971520' AND `--threads` = '50'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
40000	262144	3020.0
200000	262144	4755.79
10	3145728	1861.94
10	524288	1807.43
400000	3145728	5790.37
200000	6291456	5465.85
800000	3145728	4846.01
800000	6291456	5484.93
600000	262144	5516.52
800000	1048576	5854.61
10	1048576	1920.88
1000000	2097152	5164.68
40000	6291456	2947.09
40000	2097152	2760.05
400000	524288	5400.77
400000	6291456	6097.52
1000000	6291456	5345.08
600000	6291456	5160.83
40000	3145728	2888.4
400000	2097152	5868.93
400000	262144	5684.76
800000	524288	5029.8
800000	262144	4908.76
600000	2097152	5989.08
800000	2097152	5670.64
600000	524288	4833.16
10	262144	1867.93
1000000	524288	5014.25
200000	1048576	5611.79
10	6291456	1858.07
200000	3145728	5569.06
600000	3145728	6014.24
600000	1048576	5067.85
1000000	262144	5478.42
1000000	1048576	4980.33
1000000	3145728	5152.94
400000	1048576	5336.7
200000	2097152	5634.96
40000	524288	2901.51
10	2097152	1891.44
200000	524288	5166.1
40000	1048576	2877.75
