SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '20971520' AND `--threads` = '100'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
800000	6291456	9770.28
800000	262144	8777.01
1000000	524288	9129.08
800000	2097152	7963.39
40000	524288	6148.78
1000000	1048576	9293.51
800000	3145728	9580.57
10	2097152	5212.31
600000	2097152	8353.91
600000	3145728	9122.85
400000	2097152	7389.61
40000	6291456	6374.57
40000	2097152	6734.03
10	1048576	4847.01
10	524288	5010.72
200000	6291456	7615.32
600000	262144	9152.06
400000	262144	8323.41
10	3145728	4679.76
800000	1048576	8971.32
200000	524288	6339.71
40000	3145728	6008.09
400000	3145728	7987.21
1000000	2097152	9708.72
40000	262144	6170.36
1000000	3145728	9214.0
200000	2097152	7538.72
400000	1048576	7807.24
600000	524288	9212.01
1000000	262144	9887.37
200000	1048576	7221.74
10	262144	5191.72
600000	1048576	8542.65
1000000	6291456	8978.71
200000	262144	7642.25
40000	1048576	6619.42
600000	6291456	8969.55
10	6291456	4948.62
400000	6291456	7922.7
400000	524288	7765.59
200000	3145728	7340.47
800000	524288	9402.06
