SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '5242880' AND `--threads` = '100'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
600000	6291456	9821.05
600000	262144	8748.38
200000	1048576	7216.33
600000	524288	9180.53
200000	3145728	8739.91
40000	1048576	6236.41
400000	2097152	7917.74
600000	1048576	10097.93
600000	3145728	9217.06
1000000	1048576	10378.09
400000	262144	8561.14
10	6291456	5064.71
800000	6291456	9718.85
200000	2097152	8599.6
400000	1048576	9162.23
800000	1048576	9164.07
600000	2097152	9347.11
10	3145728	4832.18
200000	262144	8438.36
400000	3145728	9575.24
400000	524288	8087.24
40000	3145728	7029.81
40000	2097152	7384.06
10	2097152	4985.67
800000	2097152	9999.17
200000	524288	8623.95
200000	6291456	7970.22
1000000	2097152	9386.88
40000	262144	7648.89
40000	524288	7575.36
10	524288	5233.05
400000	6291456	8392.66
1000000	6291456	9277.7
10	262144	5233.5
800000	524288	9930.21
40000	6291456	7601.85
1000000	3145728	10233.02
1000000	262144	10432.02
10	1048576	4901.2
800000	262144	10364.33
800000	3145728	9947.78
1000000	524288	9669.53
