SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '52428800' AND `--threads` = '50'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
400000	2097152	4460.42
600000	2097152	4943.28
600000	3145728	4798.35
800000	2097152	4230.73
800000	6291456	4448.01
1000000	6291456	4340.11
10	524288	1745.64
400000	524288	4251.69
400000	3145728	4281.32
10	3145728	1816.97
200000	1048576	3385.47
200000	6291456	3327.39
600000	524288	4450.68
1000000	1048576	4330.85
10	1048576	1828.73
200000	2097152	3363.91
400000	262144	4495.7
40000	3145728	2003.5
400000	1048576	4913.41
1000000	262144	4008.45
40000	2097152	2088.58
1000000	524288	5614.75
200000	524288	3499.84
200000	3145728	3217.23
10	6291456	1781.42
600000	6291456	5052.83
800000	1048576	5069.26
1000000	2097152	4822.66
600000	262144	4866.56
800000	3145728	4584.34
40000	262144	1979.13
40000	1048576	1990.32
600000	1048576	4745.05
10	2097152	1848.57
400000	6291456	4713.58
200000	262144	3672.8
40000	524288	2062.21
800000	524288	4171.63
1000000	3145728	5207.1
10	262144	1903.32
800000	262144	4616.29
40000	6291456	2077.46
