SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '10485760' AND `--threads` = '1'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
400000	524288	115.46
400000	6291456	111.12
400000	262144	115.81
1000000	6291456	150.67
400000	2097152	117.13
800000	1048576	139.45
200000	3145728	91.49
400000	1048576	115.6
40000	2097152	55.1
40000	6291456	53.86
40000	524288	54.39
400000	3145728	117.26
800000	524288	145.44
600000	6291456	133.61
1000000	3145728	150.37
10	262144	35.45
1000000	2097152	150.81
200000	1048576	89.13
600000	262144	130.65
1000000	1048576	148.53
200000	2097152	90.0
10	524288	35.6
1000000	524288	149.55
600000	1048576	129.15
600000	3145728	131.23
200000	524288	88.6
200000	6291456	87.22
600000	524288	130.96
10	2097152	35.49
800000	3145728	141.62
40000	262144	54.37
10	6291456	36.39
10	1048576	35.44
800000	2097152	141.63
600000	2097152	133.55
800000	6291456	140.32
40000	1048576	55.2
800000	262144	143.84
40000	3145728	54.12
200000	262144	88.06
1000000	262144	150.3
10	3145728	35.95
