SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '104857600' AND `--threads` = '50'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
200000	524288	2141.62
800000	6291456	3657.0
400000	262144	3238.42
40000	262144	1726.92
1000000	262144	3731.47
10	3145728	1889.42
800000	1048576	4009.95
40000	524288	2034.19
1000000	1048576	3581.94
600000	524288	3900.15
1000000	3145728	4069.21
1000000	524288	3510.98
10	2097152	1845.59
400000	2097152	3060.92
40000	2097152	1800.14
800000	2097152	3742.27
1000000	2097152	3715.26
1000000	6291456	3739.0
10	262144	1817.64
400000	524288	2959.68
10	524288	1807.31
800000	3145728	3721.42
400000	6291456	3208.44
40000	6291456	1779.31
200000	3145728	2135.54
600000	2097152	4145.78
40000	3145728	1765.43
200000	6291456	2162.98
400000	1048576	3121.98
600000	3145728	3498.15
200000	262144	2090.91
800000	524288	3875.12
10	1048576	1872.44
200000	1048576	2492.27
40000	1048576	1760.77
600000	262144	3809.9
600000	1048576	3600.18
600000	6291456	3684.25
400000	3145728	3051.38
10	6291456	1816.77
800000	262144	4263.43
200000	2097152	2099.58
