SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '10485760' AND `--threads` = '100'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
800000	3145728	9870.9
200000	1048576	8120.21
1000000	524288	8686.42
800000	2097152	9751.71
200000	262144	7313.93
10	3145728	5097.44
1000000	1048576	9357.58
600000	524288	7946.99
10	2097152	4978.75
40000	1048576	6503.5
10	6291456	5106.8
200000	6291456	8033.55
400000	524288	8583.29
10	1048576	4896.79
600000	3145728	9655.47
800000	1048576	9090.12
800000	262144	8697.55
40000	262144	6740.76
600000	2097152	9637.04
600000	262144	9132.49
40000	6291456	6886.53
200000	2097152	6567.7
1000000	6291456	9511.36
10	262144	4943.55
400000	6291456	8330.11
400000	3145728	8665.58
10	524288	4888.75
600000	6291456	9557.72
600000	1048576	9550.55
1000000	2097152	10164.57
800000	6291456	9273.39
200000	524288	8660.91
1000000	3145728	9879.29
40000	2097152	6829.86
40000	3145728	7041.01
400000	2097152	9351.91
400000	1048576	8907.69
200000	3145728	8131.5
1000000	262144	9284.2
40000	524288	7018.27
400000	262144	8058.21
800000	524288	8994.64
