SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '52428800' AND `--threads` = '1'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
400000	524288	78.33
40000	524288	42.93
200000	6291456	58.37
40000	262144	41.85
800000	262144	103.45
40000	1048576	42.25
800000	2097152	104.29
1000000	1048576	110.99
200000	3145728	58.35
1000000	6291456	109.33
1000000	262144	111.96
40000	3145728	41.58
200000	1048576	57.93
400000	262144	80.34
200000	2097152	58.6
40000	2097152	41.98
600000	262144	91.02
10	2097152	36.28
400000	6291456	79.57
1000000	524288	111.23
400000	3145728	79.02
400000	1048576	78.25
1000000	2097152	112.64
40000	6291456	42.17
200000	524288	58.63
10	262144	35.65
10	524288	35.7
400000	2097152	80.68
800000	1048576	103.2
10	3145728	35.21
800000	6291456	104.46
800000	524288	103.59
800000	3145728	102.62
10	6291456	35.33
600000	524288	92.12
600000	6291456	92.14
10	1048576	35.56
1000000	3145728	111.32
600000	1048576	92.92
200000	262144	58.94
600000	3145728	92.67
600000	2097152	93.17
