SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '104857600' AND `--threads` = '100'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
200000	6291456	5950.94
40000	6291456	5270.81
40000	2097152	5225.4
800000	262144	6952.2
400000	6291456	6405.54
10	2097152	4923.44
400000	524288	6592.12
1000000	3145728	6745.73
40000	524288	5032.4
800000	3145728	7185.82
600000	1048576	5540.84
400000	3145728	6124.66
1000000	2097152	7259.27
800000	2097152	7037.53
10	1048576	5143.28
800000	6291456	6715.39
40000	1048576	5375.95
1000000	6291456	6849.86
800000	1048576	8672.52
200000	524288	5968.27
200000	2097152	5737.39
40000	262144	5420.58
400000	2097152	7408.61
40000	3145728	5391.86
600000	6291456	7452.44
600000	2097152	6901.45
1000000	262144	7489.24
400000	262144	6968.99
1000000	524288	8450.56
200000	262144	6130.01
400000	1048576	6155.92
600000	524288	6976.46
600000	262144	7275.64
600000	3145728	6805.95
200000	1048576	5814.26
10	524288	4766.24
200000	3145728	5730.93
10	6291456	4956.7
1000000	1048576	6912.09
10	3145728	4885.75
10	262144	4816.92
800000	524288	6077.53
