SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '104857600' AND `--threads` = '1'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
200000	262144	47.3
600000	1048576	74.78
600000	3145728	74.65
40000	2097152	41.11
800000	3145728	86.28
10	2097152	35.46
400000	262144	62.79
600000	262144	74.39
800000	6291456	86.31
400000	1048576	60.04
1000000	6291456	94.5
40000	262144	40.94
200000	524288	48.02
400000	2097152	61.22
10	6291456	35.78
40000	3145728	40.43
800000	1048576	85.58
600000	524288	73.82
200000	2097152	47.73
10	524288	36.28
1000000	262144	96.14
1000000	3145728	92.13
800000	524288	87.39
10	262144	35.68
800000	2097152	87.19
400000	3145728	60.08
400000	6291456	60.02
400000	524288	61.06
40000	1048576	40.0
200000	1048576	47.49
1000000	524288	94.73
40000	524288	40.71
1000000	1048576	95.47
1000000	2097152	96.73
200000	3145728	47.01
10	1048576	35.52
800000	262144	86.64
600000	2097152	74.63
10	3145728	36.06
200000	6291456	47.45
600000	6291456	76.96
40000	6291456	40.18
