SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '20971520' AND `--threads` = '1'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
200000	524288	82.66
10	262144	35.47
40000	1048576	50.94
40000	3145728	49.26
1000000	6291456	140.55
600000	2097152	121.04
400000	3145728	105.45
800000	6291456	135.54
40000	262144	50.35
600000	1048576	122.28
200000	262144	81.83
600000	262144	122.35
600000	3145728	119.63
1000000	2097152	141.52
600000	6291456	120.07
40000	2097152	50.84
800000	1048576	134.19
40000	524288	49.77
600000	524288	122.79
400000	1048576	104.36
200000	1048576	81.1
800000	524288	134.86
10	524288	35.68
1000000	262144	142.74
400000	524288	104.56
800000	2097152	133.71
1000000	3145728	144.51
1000000	524288	141.49
400000	2097152	106.25
10	3145728	35.78
10	1048576	36.29
800000	3145728	132.26
10	2097152	36.23
200000	6291456	83.85
400000	6291456	105.54
800000	262144	130.86
40000	6291456	50.72
400000	262144	104.29
200000	2097152	82.34
1000000	1048576	142.43
200000	3145728	83.45
10	6291456	35.93
