SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '5242880' AND `--threads` = '50'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
400000	3145728	6070.78
10	3145728	1837.82
40000	3145728	4524.29
40000	524288	4557.83
40000	262144	4436.53
400000	262144	6370.97
800000	3145728	6363.92
10	6291456	1803.48
1000000	524288	6120.12
600000	1048576	6424.31
1000000	1048576	5725.22
600000	2097152	6807.31
40000	1048576	4754.55
800000	6291456	7065.52
1000000	262144	5568.17
1000000	3145728	6349.79
1000000	6291456	5384.95
10	2097152	1876.35
200000	2097152	6236.8
600000	262144	6530.18
800000	524288	6848.12
200000	524288	6173.76
200000	262144	5696.34
400000	1048576	6396.04
800000	1048576	6686.96
400000	524288	6808.32
400000	6291456	6621.74
400000	2097152	6615.96
1000000	2097152	6158.84
800000	2097152	6249.48
200000	3145728	5672.71
600000	3145728	5961.22
10	524288	1875.08
200000	6291456	6497.8
40000	2097152	4528.6
200000	1048576	5708.83
600000	6291456	5787.95
10	262144	1848.78
10	1048576	1903.78
800000	262144	6617.33
600000	524288	5969.33
40000	6291456	4340.98
