SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '5242880' AND `--threads` = '1'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
400000	524288	130.13
400000	3145728	130.84
600000	2097152	145.65
600000	524288	148.96
800000	1048576	158.78
400000	2097152	127.87
800000	6291456	159.67
800000	3145728	157.0
600000	3145728	144.35
400000	6291456	129.3
40000	2097152	59.13
200000	524288	102.38
10	3145728	35.72
200000	262144	100.4
10	6291456	35.59
1000000	6291456	167.44
40000	1048576	58.17
600000	1048576	146.42
40000	3145728	58.31
10	2097152	35.5
1000000	262144	166.27
400000	262144	130.59
200000	2097152	101.81
200000	6291456	100.66
1000000	1048576	167.23
1000000	524288	165.99
600000	6291456	145.68
800000	262144	161.35
200000	3145728	102.77
400000	1048576	132.49
800000	524288	159.2
10	524288	36.3
200000	1048576	100.48
40000	6291456	57.64
1000000	3145728	167.01
10	1048576	36.08
40000	524288	57.35
600000	262144	146.29
40000	262144	57.18
800000	2097152	161.7
10	262144	36.29
1000000	2097152	168.97
