SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '52428800' AND `--threads` = '100'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
600000	2097152	7130.75
200000	6291456	6663.88
600000	524288	7483.96
1000000	1048576	8199.44
600000	3145728	7980.38
400000	2097152	7190.4
1000000	262144	8122.06
1000000	2097152	8157.91
40000	262144	5715.35
40000	2097152	6016.21
10	524288	5024.41
40000	524288	6130.88
800000	2097152	8590.68
10	6291456	4927.76
1000000	6291456	8773.76
800000	6291456	8071.65
600000	262144	7772.66
400000	262144	7422.94
200000	3145728	6287.28
10	1048576	5030.62
800000	3145728	7417.78
800000	1048576	8238.28
1000000	3145728	7787.92
200000	524288	6289.09
400000	1048576	7371.09
200000	2097152	6080.47
200000	1048576	6159.87
400000	3145728	7262.85
40000	3145728	6059.72
200000	262144	6653.23
400000	524288	6492.61
800000	524288	7873.69
800000	262144	8559.89
40000	1048576	5907.72
40000	6291456	5770.87
10	2097152	4896.11
1000000	524288	9516.45
600000	6291456	8128.21
10	262144	4958.54
10	3145728	5195.68
400000	6291456	6787.74
600000	1048576	6723.78
