SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '262144' AND `--table-size` = '1000000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
50	104857600	3731.47
100	52428800	8122.06
1	52428800	111.96
1	5242880	166.27
50	10485760	6169.05
1	104857600	96.14
50	5242880	5568.17
50	52428800	4008.45
1	20971520	142.74
50	20971520	5478.42
100	20971520	9887.37
100	104857600	7489.24
100	5242880	10432.02
1	10485760	150.3
100	10485760	9284.2
