SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '2097152' AND `--table-size` = '200000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
100	5242880	8599.6
50	10485760	6015.11
1	52428800	58.6
1	104857600	47.73
50	52428800	3363.91
100	10485760	6567.7
1	10485760	90.0
1	5242880	101.81
50	5242880	6236.8
100	104857600	5737.39
100	20971520	7538.72
100	52428800	6080.47
50	20971520	5634.96
1	20971520	82.34
50	104857600	2099.58
