SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '1048576' AND `--table-size` = '400000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
1	10485760	115.6
50	10485760	6846.42
1	104857600	60.04
100	5242880	9162.23
1	52428800	78.25
50	52428800	4913.41
50	104857600	3121.98
50	5242880	6396.04
1	20971520	104.36
1	5242880	132.49
100	52428800	7371.09
100	20971520	7807.24
100	104857600	6155.92
50	20971520	5336.7
100	10485760	8907.69
