SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '2097152' AND `--table-size` = '800000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
100	10485760	9751.71
50	52428800	4230.73
100	20971520	7963.39
1	52428800	104.29
50	104857600	3742.27
100	104857600	7037.53
100	5242880	9999.17
100	52428800	8590.68
1	104857600	87.19
50	20971520	5670.64
1	20971520	133.71
1	10485760	141.63
50	5242880	6249.48
50	10485760	5329.63
1	5242880	161.7
