SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '1048576' AND `--table-size` = '600000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
1	104857600	74.78
100	5242880	10097.93
50	10485760	6264.02
50	5242880	6424.31
100	104857600	5540.84
1	20971520	122.28
1	5242880	146.42
1	10485760	129.15
100	10485760	9550.55
50	20971520	5067.85
100	20971520	8542.65
50	52428800	4745.05
50	104857600	3600.18
1	52428800	92.92
100	52428800	6723.78
