SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '1048576' AND `--table-size` = '200000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
100	10485760	8120.21
100	5242880	7216.33
50	10485760	5827.14
1	52428800	57.93
50	52428800	3385.47
1	10485760	89.13
1	20971520	81.1
1	104857600	47.49
50	20971520	5611.79
100	52428800	6159.87
50	104857600	2492.27
100	20971520	7221.74
1	5242880	100.48
100	104857600	5814.26
50	5242880	5708.83
