SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '3145728' AND `--table-size` = '800000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
100	10485760	9870.9
1	104857600	86.28
1	5242880	157.0
100	20971520	9580.57
50	5242880	6363.92
50	20971520	4846.01
100	104857600	7185.82
50	104857600	3721.42
50	10485760	5100.35
100	52428800	7417.78
1	10485760	141.62
50	52428800	4584.34
1	52428800	102.62
1	20971520	132.26
100	5242880	9947.78
