SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '3145728' AND `--table-size` = '400000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
50	5242880	6070.78
1	5242880	130.84
50	20971520	5790.37
1	10485760	117.26
1	20971520	105.45
50	52428800	4281.32
100	5242880	9575.24
100	104857600	6124.66
1	52428800	79.02
50	10485760	5835.69
1	104857600	60.08
100	20971520	7987.21
100	10485760	8665.58
100	52428800	7262.85
50	104857600	3051.38
