SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '1048576' AND `--table-size` = '40000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
1	20971520	50.94
100	10485760	6503.5
100	5242880	6236.41
1	52428800	42.25
1	5242880	58.17
50	5242880	4754.55
100	104857600	5375.95
50	10485760	3972.54
1	104857600	40.0
50	104857600	1760.77
50	52428800	1990.32
1	10485760	55.2
100	20971520	6619.42
100	52428800	5907.72
50	20971520	2877.75
