SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '2097152' AND `--table-size` = '600000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
50	52428800	4943.28
100	52428800	7130.75
1	5242880	145.65
1	20971520	121.04
100	20971520	8353.91
100	5242880	9347.11
100	10485760	9637.04
50	5242880	6807.31
50	104857600	4145.78
50	20971520	5989.08
50	10485760	5355.35
100	104857600	6901.45
1	10485760	133.55
1	104857600	74.63
1	52428800	93.17
