SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '524288' AND `--table-size` = '1000000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
100	10485760	8686.42
100	20971520	9129.08
50	5242880	6120.12
50	104857600	3510.98
1	52428800	111.23
50	10485760	6167.64
1	10485760	149.55
1	5242880	165.99
50	52428800	5614.75
1	104857600	94.73
50	20971520	5014.25
100	104857600	8450.56
1	20971520	141.49
100	52428800	9516.45
100	5242880	9669.53
