SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '2097152' AND `--table-size` = '40000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
1	104857600	41.11
100	104857600	5225.4
1	10485760	55.1
1	5242880	59.13
50	104857600	1800.14
1	52428800	41.98
100	52428800	6016.21
100	20971520	6734.03
50	20971520	2760.05
100	5242880	7384.06
50	10485760	3715.18
50	52428800	2088.58
1	20971520	50.84
100	10485760	6829.86
50	5242880	4528.6
