SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '3145728' AND `--table-size` = '1000000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
50	10485760	6086.86
50	104857600	4069.21
100	104857600	6745.73
1	10485760	150.37
1	104857600	92.13
50	5242880	6349.79
100	52428800	7787.92
100	20971520	9214.0
1	20971520	144.51
100	10485760	9879.29
1	5242880	167.01
50	20971520	5152.94
100	5242880	10233.02
1	52428800	111.32
50	52428800	5207.1
